t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
10700,25.0,-12.0,12.0,597,471,552,26
10733,25.0,-12.0,12.0,597,471,552,26
10767,25.0,-12.0,12.0,597,471,552,26
10800,25.0,-12.0,12.0,597,471,552,26
10833,25.0,-12.0,12.0,597,471,552,26
10867,25.0,-12.0,12.0,597,471,552,26
10900,25.0,-12.0,12.0,597,471,552,26
10933,25.0,-12.0,12.0,597,471,552,26
10967,25.0,-12.0,12.0,597,471,552,27
11000,25.0,-12.0,12.0,597,471,552,28
11033,25.0,-12.0,12.0,597,471,552,28
11067,25.0,-12.0,12.0,597,471,552,29
11100,25.0,-12.0,12.0,597,471,552,30
11133,25.0,-12.0,12.0,597,471,552,31
11167,25.0,-12.0,12.0,597,471,552,32
11200,25.0,-12.0,12.0,597,471,552,34
11233,25.0,-12.0,12.0,597,471,552,35
11267,25.0,-12.0,12.0,597,471,552,37
11300,25.0,-12.0,12.0,597,471,552,38
11333,25.0,-12.0,12.0,597,471,552,40
11367,25.0,-12.0,12.0,597,471,552,41
11400,25.0,-12.0,12.0,597,471,552,43
11433,25.0,-12.0,12.0,597,471,552,45
11467,25.0,-12.0,12.0,597,471,552,47
11500,25.0,-12.0,12.0,597,471,552,49
11533,25.0,-12.0,12.0,597,471,552,51
11567,25.0,-12.0,12.0,597,471,552,52
11600,25.0,-12.0,12.0,597,471,552,54
11633,25.0,-12.0,12.0,597,471,552,56
11667,25.0,-12.0,12.0,597,471,552,59
11700,25.0,-12.0,12.0,597,471,552,61
11733,25.0,-12.0,12.0,597,471,552,63
11767,25.0,-12.0,12.0,597,471,552,65
11800,25.0,-12.0,12.0,597,471,552,67
11833,25.0,-12.0,12.0,597,471,552,69
11867,25.0,-12.0,12.0,597,471,552,71
11900,25.0,-12.0,12.0,597,471,552,73
11933,25.0,-12.0,12.0,597,471,552,74
11967,25.0,-12.0,12.0,597,471,552,76
12000,25.0,-12.0,12.0,597,471,552,78
12033,25.0,-12.0,12.0,597,471,552,80
12067,25.0,-12.0,12.0,597,471,552,82
12100,25.0,-12.0,12.0,597,471,552,83
12133,25.0,-12.0,12.0,597,471,552,85
12167,25.0,-12.0,12.0,597,471,552,86
12200,25.0,-12.0,12.0,597,471,552,87
12233,25.0,-12.0,12.0,597,471,552,89
12267,25.0,-12.0,12.0,597,471,552,90
12300,25.0,-12.0,12.0,597,471,552,91
12333,25.0,-12.0,12.0,597,471,552,92
12367,25.0,-12.0,12.0,597,471,552,93
12400,25.0,-12.0,12.0,597,471,552,94
12433,25.0,-12.0,12.0,597,471,552,94
12467,25.0,-12.0,12.0,597,471,552,95
12500,25.0,-12.0,12.0,597,471,552,95
12533,25.0,-12.0,12.0,597,471,552,95
12567,25.0,-12.0,12.0,597,471,552,96
12600,25.0,-12.0,12.0,597,471,552,96
12633,25.0,-12.0,12.0,597,471,552,96
